#time	NaOH	pH	U	Al	Mg	Si	Ca	Co	Ni	Mn	Cl	NO3	SO4
0.0	0.0	3.55	0.172	6.115	2.996	1.168	9.306	0.015	0.143	1.585	8.603	53.306	27.764
1.3	1.4	3.55	0.176	6.301	2.084	1.036	7.610	0.009	0.155	1.229	9.026	45.758	30.918
2.5	2.7	3.6	0.165	5.930	2.036	0.979	7.435	0.009	0.157	0.932	-1.000	-1.000	-1.000
3.7	4.0	3.63	0.170	5.708	2.132	0.919	7.635	0.009	0.166	0.819	9.336	46.500	30.918
9.6	10.3	3.79	0.153	3.824	2.022	0.548	7.061	0.008	0.153	0.737	9.844	46.290	29.752
10.8	11.6	3.82	0.141	3.311	1.954	0.481	6.986	0.008	0.146	0.730	9.449	44.742	28.441
11.2	12.0	3.89	0.136	3.280	1.940	0.463	7.011	0.008	0.147	0.724	9.618	45.194	28.909
11.6	12.4	3.76	0.134	3.163	1.913	0.456	6.961	0.008	0.143	0.730	-1.000	-1.000	-1.000
13.5	14.5	3.85	0.121	2.829	1.899	0.409	6.861	0.008	0.143	0.724	9.844	44.645	27.951
14.3	15.4	3.85	0.125	2.811	1.817	0.392	6.612	0.008	0.145	0.714	9.985	45.065	27.826
15.3	16.4	3.9	0.112	2.687	1.837	0.363	6.637	0.008	0.145	0.717	10.465	47.129	28.493
16.1	17.2	3.91	0.109	2.458	1.830	0.327	6.811	0.008	0.136	0.715	10.436	46.806	28.066
20.8	22.3	4	0.075	1.612	1.659	0.267	5.838	0.007	0.127	0.644	12.495	44.290	25.526
22.0	23.6	4.03	0.060	1.427	1.638	0.232	5.714	0.007	0.123	0.637	12.665	44.387	25.276
23.1	24.9	4.1	0.052	1.248	1.570	0.210	5.664	0.007	0.112	0.626	13.342	46.129	25.661
26.7	28.7	4.15	0.027	0.735	1.378	0.156	4.915	0.006	0.096	0.544	12.834	44.032	23.725
27.5	29.6	4.3	0.023	0.575	1.350	0.136	4.666	0.005	0.095	0.515	13.285	45.435	23.818
28.6	30.8	4.28	0.019	0.460	1.330	0.125	4.491	0.005	0.089	0.481	13.285	45.435	23.454
29.8	32.0	4.3	0.015	0.360	1.296	0.119	4.441	0.005	0.078	0.462	13.229	45.000	23.173
30.6	32.9	4.35	0.013	0.337	1.296	0.089	4.441	0.004	0.060	0.402	13.257	45.306	22.934
31.0	33.3	4.42	0.009	0.213	1.015	0.084	3.418	0.002	0.051	0.349	13.257	44.512	22.569
