#NaOH	pH	NO3	SO4	Al	Ca	Mg	Mn	Fe	Ni	Co	U	Sr	Si	Cr
0.000	3.450	1.0129032	0.2175724	1.0673980	2.1082834	1.0529780	0.3276421	0.0026591	0.0141421	0.0023672	0.0055665	0.0028466	0.1317462	0.0000382
2.700	3.870	0.9790323	0.1946700	0.6541519	1.9211577	0.9480915	0.2593833	0.0026501	0.0115011	0.0015781	0.0015523	0.0026648	0.1237346	0.0000616
4.500	3.980	1.0741935	0.2852384	0.4818116	1.8837325	0.7938467	0.1437985	0.0022204	0.0072074	0.0007806	0.0006071	0.0026818	0.0712142	0.0001318
7.200	4.790	0.7274194	0.2134083	0.0882086	1.1264970	0.5902435	0.1164950	0.0018533	0.0036207	0.0005651	0.0001628	0.0019318	0.0952489	0.0000531
9.450	5.740	0.9451613	0.2654591	0.0049293	0.8632735	0.4915268	0.0499654	0.0011818	0.0007480	0.0000606	0.0000000	0.0015000	0.0379215	0.0000455
11.700	6.390	0.9096774	0.2800333	0.0023535	0.7684631	0.3126028	0.0119225	0.0038319	0.0002718	0.0000000	0.0000052	0.0011932	0.0370314	0.0001113
13.950	7.090	1.0935484	0.2311056	0.0231640	0.1150200	0.0045245	0.0000252	0.0000265	0.0000092	0.0000000	0.0000000	0.0000966	0.0044153	0.0000885
16.200	8.000	1.4209677	0.2477618	0.0044475	0.0157186	0.0015486	0.0000823	0.0014773	0.0000173	0.0000000	0.0000302	0.0000000	0.0151508	0.0001221
18.450	9.120	1.0564516	0.2966896	0.1106314	0.0467814	0.0012874	0.0001210	0.0006661	0.0000112	0.0000000	0.0000067	0.0000152	0.0110382	0.0001524
20.700	10.000	1.0903226	0.2227774	0.0031503	0.0069361	0.0022006	0.0003012	0.0035096	0.0000230	0.0000000	0.0004327	0.0000000	0.1080675	0.0001244
