#NaOH	pH	NO3	SO4	Al	Ca	Mg	Mn	Fe	Ni	Co	U	Sr	Si	Cr
0.000	3.480	3.7691929	0.8786175	1.7623186	2.0334331	0.8308654	0.6015872	0.0030619	0.0208724	0.0038945	0.0476831	0.0018466	0.1652169	0.0000805
2.700	3.660	3.6540691	0.9067250	1.1711728	1.7215569	0.7629977	0.4759911	0.0108332	0.0180610	0.0021806	0.0357098	0.0016818	0.1468792	0.0001438
7.200	4.040	3.6204731	0.9306683	0.3057651	1.1052894	0.5367720	0.2830463	0.0027575	0.0066025	0.0011369	0.0110070	0.0012273	0.0968513	0.0000930
9.450	4.390	3.7312776	0.9629398	0.0798695	0.9194112	0.4174893	0.1874841	0.0025158	0.0046430	0.0008569	0.0024157	0.0010057	0.0772674	0.0000708
11.700	4.680	3.7312776	1.1451176	0.0309471	0.7622255	0.3393386	0.1337872	0.0011549	0.0027517	0.0005014	0.0009747	0.0008068	0.0842108	0.0000873
13.950	5.090	3.7215989	1.1596919	0.0081723	0.5938124	0.2591313	0.0779970	0.0008165	0.0015846	0.0002393	0.0002899	0.0006023	0.0621344	0.0001090
16.200	5.490	3.6891152	1.2648345	0.0024647	0.5002495	0.1659674	0.0415013	0.0008246	0.0006304	0.0000647	0.0000781	0.0004739	0.0509181	0.0001341
18.450	6.140	3.7188655	1.3814283	0.0015548	0.3318363	0.0804130	0.0019932	0.0008076	0.0000492	0.0000000	0.0000431	0.0001977	0.0194059	0.0002922
20.700	6.700	3.7621047	1.4272330	0.0033171	0.2233034	0.0588187	0.0015381	0.0007359	0.0000535	0.0000000	0.0000227	0.0001580	0.0218984	0.0003452
27.450	8.510	3.7498383	1.6000416	0.0031132	0.1422156	0.0244735	0.0049601	0.0017637	0.0002990	0.0000000	0.0000000	0.0000869	0.0131924	0.0009473
